"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE"
"By Suella Fernandes, Tory MP and vice chair of the European Research Group","November 19, 2016 Saturday 12:24 PM GMT",,"'Britain must untie itself from EU shackles by using Brexit to leave the customs union'","650 words","telegraph.co.uk","NEWS",
,"November 18, 2016 Friday 12:00 AM GMT",,"Brexit MP received death threats including mocked-up pic of his son being 'executed' by IS","650 words","Express Online",,
"Lizzie Stromme","November 20, 2016 Sunday 1:16 PM GMT",,"'Businesses WILL face uncertainty' NO Brexit clarity by end of March, Chancellor warns","651 words","Express Online",,
"Greg Heffer, Political Reporter","November 17, 2016 Thursday 12:03 PM GMT",,"'You'll rue the day' PM told dumping Lords reforms will allow peers to block Brexit","651 words","Express Online",,
"Greg Heffer, Political Reporter","November 25, 2016 Friday 3:21 PM GMT",,"Cricket legend Sir Ian Botham tells Remainers to 'ACCEPT' Brexit and 'MOVE ON'","654 words","Express Online",,
"Nigel Morris POLITICAL EDITOR","November 24, 2016",,"Tough times ahead as Brexit bites, says downbeat Chancellor; COVER STORY","654 words","i-Independent Print Ltd","NEWS; Pg. 6",
"By Ben Riley-Smith, Assistant Political Editor","November 23, 2016 Wednesday 7:14 PM GMT",,"Net migration to be 80,000 a year lower after Brexit, OBR says ","654 words","telegraph.co.uk","NEWS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 18, 2016 Friday 1:06 PM GMT",,"The groups trying to delay Brexit: Now Scotland, Wales and a Corbyn-backed trade union are given permission to join legal battle to block Theresa May's EU exit plans","654 words","MailOnline","NEWS",
"Lizzie Stromme","November 16, 2016 Wednesday 11:00 AM GMT",,"'Brexit is a lose-lose situation' Britain will be WORSE OFF outside EU, minister warns","654 words","Express Online",,
"Lizzie Stromme","November 15, 2016 Tuesday 9:33 AM GMT",,"'President Trump & Brexit WILL HAPPEN' Farage savages liberals for not accepting democracy","654 words","Express Online",,
"Steven Morris, Libby Brooks and Henry McDonald","November 25, 2016 Friday 5:01 PM GMT",,"First ministers clash over separate Brexit deal for Scotland; Welsh leader Carwyn Jones says Nicola Sturgeon's aim to remain with single market could lead to border posts","657 words","The Guardian","POLITICS",
"Greg Heffer, Political Reporter","November 22, 2016 Tuesday 2:13 PM GMT",,"Boris Johnson tells MPs other EU nations 'excited' and 'seeing the merits' of Brexit","657 words","Express Online",,
"Letters","November 21, 2016 Monday 2:12 PM GMT",,"Brexit's success lies in the hands of the French, not the British, electorate; Please send your letters to letters@independent.co.uk","657 words","The Independent (United Kingdom)","LETTERS",
"Greg Heffer, Political Reporter","November 24, 2016 Thursday 11:46 AM GMT",,"Blair vows Brexit 'CAN BE STOPPED' but admits he's too unpopular for political comeback","659 words","Express Online",,
"By Jack Blanchard","November 16, 2016 Wednesday 10:31 PM GMT",,"Brits beg Theresa May to keep free trade after Brexit - but 70% want curbs on immigration; Voters are split almost 50/50 as to which is most important - free trade or curbs on immigration","659 words","mirror.co.uk","NEWS,UK NEWS",
,"November 21, 2016 Monday",,"Brexit should be a doddle thanks to our contacts; Letters","66 words","The Express","LETTERS; Pg. 23",
"Simon Johnson","November 15, 2016 Tuesday",,"SNP advisers dismiss its Brexit stance; Sturgeon told the UK is far more important than the EU","660 words","The Daily Telegraph (London)","NEWS; Pg. 1,2",
"Joe Barnes","November 23, 2016 Wednesday 5:52 PM GMT",,"Brexit will help us defeat CANCER and put 'health of our citizens first', Ukip MEP claims","661 words","Express Online",,
,"November 22, 2016 Tuesday",,"Banish traitor Blair from the Brexit talk table","661 words","The Sun (England)","FEATURES; Pg. 38",
"Denis MacShane","November 15, 2016 Tuesday 9:36 AM GMT",,"These are the nine Brexits that lie ahead - but Article 50 will only deal with one of them; From the single market to our border with France, the Article 50 negotiations will failto address some of the most critical elements of the Brexit process","661 words","The Independent (United Kingdom)","VOICES",
"Katie Mansfield","November 24, 2016 Thursday 2:30 PM GMT",,"Furious Leave voters to boycott Virgin as Branson 'funds Brexit blocking group'","662 words","Express Online",,
"Macer Hall, Political Editor","November 20, 2016 Sunday 4:15 PM GMT",,"Tony Blair seeks to influence Government's Brexit policy by launching new organisation","662 words","Express Online",,
"Greg Heffer, Political Reporter","November 21, 2016 Monday 2:50 PM GMT",,"Ukip's Suzanne Evans tells PM to forget interim Brexit deal and IGNORE Article 50 process","663 words","Express Online",,
,"November 20, 2016",,"The Brexit shambles: time is running out; CHRISTOPHER BOOKER","664 words","The Sunday Telegraph (London)","FEATURES; Pg. 24",
"Matthew Patten","November 17, 2016 Thursday 7:30 AM GMT",,"Love or hate it, Brexit offers civil society the chance to tackle social injustice; Following the EU referendum, UK charities should work with disenfranchised people to reconnect them with society and politics","664 words","The Guardian","VOLUNTARY SECTOR NETWORK",
"By Ben Riley-Smith, Assistant Political Editor","November 19, 2016 Saturday 9:30 PM GMT",,"Second World War victory proves civil service can deliver Brexit, says top ex-mandarin","665 words","telegraph.co.uk","NEWS",
"Lizzie Stromme","November 24, 2016 Thursday 12:58 PM GMT",,"'Brexit will cause HIGHER growth' OBR's gloomy report shredded to pieces on Daily Politics","666 words","Express Online",,
"John Rentoul","November 16, 2016 Wednesday 12:03 PM GMT",,"Theresa May didn't intentionally set up Boris Johnson to fail, but he will make a mess of Brexit anyway; Boris'comments in a Czech newspaper yesterday, saying it was a 'myth'that free movement of people was a founding principle of the EU, provoked withering responses from Italian and Dutch ministers. And indeed from anyone who Googled the 1957 Treaty of Rome: Title III, whichis called 'The Free Movement of Persons, Services and Capital'","666 words","The Independent (United Kingdom)","VOICES",
"JAMES MOORE","November 24, 2016",,"Three cheers from business - but don't mention the Brexit elephant in the room","669 words","The Independent - Daily Edition","Pg. 8",
,"November 25, 2016 Friday",,"West gets Brexit blame","67 words","The Times (London)","NEWS; Pg. 56",
"Rob Merrick","November 16, 2016 Wednesday 9:28 AM GMT",,"Theresa May warned her plans for Brexit risk descending into chaos; Downing Street facedpowerful criticisms of Whitehall's readiness for the huge task - as a Supreme Court judge suggested the start of Britain's EU exit could be delayed","670 words","The Independent (United Kingdom)","UK POLITICS",
"By Jason Beattie","November 15, 2016 Tuesday 8:40 AM GMT",,"The hard truths of Brexit dawn on Theresa May: Mirror Politics morning briefing; A leaked memo reveals the Government has yet to get to grips with the complexity of leaving the EU","670 words","mirror.co.uk","NEWS,UK NEWS",
"EDITORIAL","November 24, 2016 Thursday",,"The Autumn Statement will not make post-Brexit Britain a fairer place","671 words","The Independent - Daily Edition","NEWS; Pg. 2",
"Oliver Wright","November 14, 2016 Monday",,"Brexit vote drives firms to ditch £65bn of investment","671 words","The Times (London)","NEWS; Pg. 18",
"James Moore","November 21, 2016 Monday 2:47 PM GMT",,"Prime Minister Theresa May tells businesses she'll play nice after all; Companies won't have to put workers on boards, and there are tax cuts, tax breaks, and a rise in R&D spending to buy off business objections to the disastrous way Brexit is being handled","672 words","The Independent (United Kingdom)","BUSINESS COMMENT",
"Angela Monaghan","November 24, 2016 Thursday 8:56 AM GMT",,"Countrywide warns over profits amid housing slowdown; Estate agency says stamp duty changes and uncertainty after Brexit vote are leading to fewer sales, particularly in London","673 words","The Guardian","BUSINESS",
"Lizzie Stromme","November 22, 2016 Tuesday 3:23 PM GMT",,"'Bold and beautiful' Britain can be global leader of free trade, Brexit MEP beams","673 words","Express Online",,
"By Henry Bodkin","November 14, 2016 Monday 12:01 AM GMT",,"Brexit Britain should lead the way by banning mass antibiotic use in agriculture, says top doctors","673 words","telegraph.co.uk","NEWS",
"JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","November 18, 2016 Friday 9:56 AM GMT",,"Theresa turns the other cheek! PM enters the lions' den as she meets Angela Merkel and other EU leaders for early Brexit talks","674 words","MailOnline","NEWS",
"Alan Cochrane","November 16, 2016 Wednesday",,"SNP's 'planted' BBC Brexit story wilts at the first sign of dissent","675 words","The Daily Telegraph (London)","NEWS; Pg. 9",
"JANE DENTON FOR THISISMONEY and JAMES TAPSFIELD, POLITICAL EDITOR FOR MAILONLINE","November 24, 2016 Thursday 8:46 AM GMT",,"Now Brexit is blamed for price hikes on BABY CLOTHES! Mothercare warns of 5% rise next year due to fall in sterling","677 words","MailOnline","MARKETS",
"Lizzie Stromme","November 24, 2016 Thursday 10:39 AM GMT",,"'That's the WRONG question' Chancellor SNAPS at Sky News anchor over Brexit speculation","678 words","Express Online",,
"JAMES MOORE","November 23, 2016 Wednesday",,"Brexit has cost us, and worse may be on the way","678 words","The Independent - Daily Edition","BUSINESS; Pg. 50",
"By Simon Johnson, Scottish Political Editor","November 15, 2016 Tuesday 6:00 AM GMT",,"SNP challenged over 'meaningless' Brexit single market demand","679 words","telegraph.co.uk","NEWS",
"David Maddox, Political Correspondent","November 14, 2016 Monday 9:25 PM GMT",,"Theresa May: Brexit is opportunity to make 'globalisation work for all'","680 words","Express Online",,
"By Telegraph View","November 20, 2016 Sunday 6:00 AM GMT",,"Chancellor Hammond can ensure Brexit frees the country to become a global economic powerhouse","681 words","telegraph.co.uk","OPINION",
"Henry McDonald Ireland correspondent","November 18, 2016 Friday 5:08 PM GMT",,"Northern Ireland campaigner to challenge Brexit in supreme court; Raymond McCord, a campaigner for victims of paramilitary violence, won right to hearing after Belfast court ruling","682 words","The Guardian","UK NEWS",
,"November 16, 2016 Wednesday 5:25 PM GMT",,"Brexit polls got it wrong because they underestimated the way 'uneducated' would vote","682 words","Express Online",,
"Darren Hunt","November 25, 2016 Friday 2:08 PM GMT",,"'For God's sake!' Tony Blair ripped into after shameless Brexit intervention","683 words","Express Online",,
"ROB MERRICK DEPUTY POLITICAL EDITOR","November 25, 2016 Friday",,"Every household will lose £1,250 because of Brexit, think tank says","683 words","The Independent - Daily Edition","NEWS; Pg. 3",
"Oliver Wright","November 25, 2016 Friday",,"Major: Tyranny of the majority must not set Brexit terms","684 words","The Times (London)","NEWS; Pg. 1,2",
"Nathan Rao","November 18, 2016 Friday 12:01 AM GMT",,"OPERATION BLAME BREXIT: Energy suppliers latest to exploit EU referendum to hike prices","684 words","Express Online",,
"Nigel Morris POLITICAL EDITOR","November 22, 2016",,"PM wants 'transitional' deal to avoid Brexit impact; COVER STORY","685 words","i-Independent Print Ltd","NEWS; Pg. 6",
"Ben Chu","November 21, 2016 Monday 5:05 PM GMT",,"What would a 'transitional' Brexit deal for the UK be?; Such a deal is widely presumed to involve Britain leaving the EU, as planned, in 2019 but immediately entering a close trading relationship with the rest of the bloc as part of the European Economic Area","685 words","The Independent (United Kingdom)","BUSINESS NEWS",
"Greg Heffer, Political Reporter","November 15, 2016 Tuesday 5:43 PM GMT",,"'What exactly do you want?' SNP told they've 'increasingly little to say' on Brexit","685 words","Express Online",,
"Greg Heffer, Political Reporter","November 23, 2016 Wednesday 6:47 PM GMT",,"'Inevitable' Britain will quit EU's Single Market and customs union after Brexit, MPs told","689 words","Express Online",,
"Lizzie Stromme","November 23, 2016 Wednesday 8:59 AM GMT",,"'Everyone knows more than us' Boris brilliantly shuts down SNP over Brexit whinging","689 words","Express Online",,
"James Moore","November 17, 2016 Thursday 4:50 PM GMT",,"Make the most out of this Black Friday - it might be the last bargain you'll get after Brexit; The fall in Sterling has sharply increased the price of imported goods, but it hasn't yet filtered through to the prices we're paying in the shops","689 words","The Independent (United Kingdom)","VOICES",
,"November 22, 2016",,"Ireland faces Brexit migrant influx; From the business pages The Irish Times","69 words","i-Independent Print Ltd","NEWS; Pg. 41",
"CHRIS GRAYLING","November 15, 2016 Tuesday",,"The world's best railway for Brexit Britain; Even if you never get on a train, you will feel the benefits of HS2 in a stronger economy","691 words","The Daily Telegraph (London)","NEWS; Pg. 18",
"Andrew Grice","November 25, 2016 Friday 4:49 PM GMT",,"Angry Brexit voters 'could form Trump-like nationalist movement', warns former Chancellor Alistair Darling; Darling suggests Ukip or a similar movement could reap the benefit of mass dis-satisfaction","692 words","The Independent (United Kingdom)","UK POLITICS",
"MATT DATHAN, POLITICAL CORRESPONDENT FOR MAILONLINE","November 24, 2016 Thursday 10:42 AM GMT",,"Plunging pound will add £2.7billion to Britain's EU bill and we could be forced to continue paying Brussels even AFTER Brexit, watchdog predicts","692 words","MailOnline","NEWS",
"Nick Gutteridge","November 21, 2016 Monday 11:56 AM GMT",,"'Time to listen to the people' Plan to oust out of touch Remoaner MPs from Brexit areas","692 words","Express Online",,
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR and JASON GROVES FOR THE DAILY MAIL","November 25, 2016 Friday 2:10 AM GMT",,"There will be NO second referendum on Brexit, No 10 insists in a slapdown to ex-PM Sir John Major's attack on the 'tyranny of the majority'","693 words","MailOnline","NEWS",
"By Justin Huggler","November 17, 2016 Thursday 2:57 PM GMT",,"Brexit negotiations should be transparent, Obama says, on last Europe tour as president","693 words","telegraph.co.uk","NEWS",
"James Moore","November 14, 2016 Monday 11:03 AM GMT",,"RBS chairman Sir Howard Davies warns banks will quit Brexit Britain without urgent Government action; The Manchester City supporting grandee probably didn't mean to say ministers don't know what they're doing when he did the media rounds over the weekend, but it's starting to look that way and the City will be hit hard as a result","698 words","The Independent (United Kingdom)","BUSINESS COMMENT",
"James Moore","November 22, 2016 Tuesday 9:21 AM GMT",,"Brexit has cost us $1.5tn and worse may be on the way; If Britain were a boxer, it would be Sonny Liston, sitting in the corner after Ali's assault. If ministers don't see the danger of the instability fuelled by insecurity and inequality, the nationcould find itself sprawlingon the canvass","700 words","The Independent (United Kingdom)","BUSINESS COMMENT",
"BY JAMES SLACK POLITICAL EDITOR","November 22, 2016 Tuesday",,"MAY SOOTHES THE BREXIT JITTERS","701 words","DAILY MAIL (London)",,
"James Moore","November 23, 2016 Wednesday 11:54 AM GMT",,"Business cheers Autumn Statement as Chancellor Philip Hammond does his best to ignore Brexit elephant in room; Philip Hammond could hardly have got a better reaction from business, but it will be a different story if the UK continues to drift towards a hard Brexit","702 words","The Independent (United Kingdom)","BUSINESS COMMENT",
"Lucy Pasha-Robinson","November 20, 2016 Sunday 6:00 PM GMT",,"French leftists in plot to stop far-right Le Pen by voting in conservative primaries; Voters who broughtPresident Hollandeto power in 2012launch last-ditch attempt to counterFront Nationalinwake of populist Brexit vote and Donald Trump's shock US election win","702 words","The Independent (United Kingdom)","EUROPE",
"JACK BLANCHARD","November 17, 2016 Thursday",,"DON'T SELL US OUT; VOTERS' DEMANDS ON EU EXIT DEAL 90% of Brits want to keep free trade 70% back curbs on UK immigration Boris Brexit plans 'insult' neighbours","702 words","Daily Mirror","NEWS; Pg. 6,7",
"By Simon Johnson and Auslan Cramb","November 18, 2016 Friday 10:01 PM GMT",,"Nicola Sturgeon could halt Brexit through ruling in European court, claims barrister behind High Court case","704 words","telegraph.co.uk","NEWS",
"Vickiie Oliphant","November 22, 2016 Tuesday 7:04 PM GMT",,"MAPPED: Which UK cities have the best economic growth & will Brexit affect their rankings?","707 words","Express Online",,
,"November 22, 2016 Tuesday",,"Facebook to hire 500; BREXIT 2","71 words","The Sun (England)","NEWS; Pg. 6",
,"November 16, 2016 Wednesday",,"Stop making Brexit into a mountain from a molehill; Letters","71 words","The Express","LETTERS; Pg. 23",
"Rowena Mason and Patrick Wintour","November 16, 2016 Wednesday 11:01 AM GMT",,"Boris Johnson's Brexit vision 'intellectually impossible' - EU minister; Eurogroup president Jeroen Dijsselbloem attacks foreign secretary for claiming UK could leave customs union while maintaining free trade with EU","710 words","The Guardian","POLITICS",
"Rajeev Syal","November 20, 2016 Sunday 11:56 AM GMT",,"Philip Hammond dashes hopes of big windfalls for struggling families; Chancellor, preparing for autumn statement, says he needs 'headroom' in finances to meet Brexit challenges","711 words","The Guardian","UK NEWS",
"Lucy Pasha-Robinson","November 20, 2016 Sunday 12:31 PM GMT",,"Marine Le Pen takes huge lead over nearest rival in new French presidential election poll; Resultslikely to add to growing fears far-right leader could be on course for victory in wake of shock Brexit and US presidential votes","711 words","The Independent (United Kingdom)","EUROPE",
"Ian Sample Science editor","November 18, 2016 Friday 12:01 AM GMT",,"EU researchers must be allowed to stay in UK after Brexit, MPs tell government; Committee calls on government to offer an immediate commitment to EU scientists and engineers currently living and working in Britain","711 words","The Guardian","SCIENCE",
,"November 25, 2016 Friday",,"The anti-Brexit forces are gathering; ESTABLISHED 1855","713 words","The Daily Telegraph (London)","BUSINESS; Pg. 27",
,"November 22, 2016 Tuesday 5:38 PM GMT",,"Fury as SECRET new campaign group 'backed by Richard Branson' plots to derail Brexit","714 words","Express Online",,
"By Nick Squires","November 15, 2016 Tuesday 5:56 PM GMT",,"Obama warns of dangers of 'crude nationalism' in wake of Brexit and election of Trump","717 words","telegraph.co.uk","NEWS",
"LOUISE ECCLES, PERSONAL FINANCE CORRESPONDENT FOR THE DAILY MAIL and SARAH DAVIDSON FOR THISISMONEY.CO.UK","November 15, 2016 Tuesday 11:02 PM GMT",,"Call to rescue young buyers as homes for sale fall to 40-year low: Brexit, stamp duty and buy-to-let tax hike leave just 44 properties on average estate agent's books","719 words","MailOnline","MORTGAGES & HOME",
"Peter Dominiczak","November 14, 2016 Monday",,"Change is in the air and politicians must respond, May insists; US election: New political order Brexit and Trump victory show new approaches are needed on migration and business, PM to say","719 words","The Daily Telegraph (London)","NEWS; Pg. 4",
"Nick Gutteridge","November 22, 2016 Tuesday 10:34 AM GMT",,"'Brexit in 14 MONTHS' Brussels negotiator gives UK ultimatum to get on and GET OUT of EU","720 words","Express Online",,
"David Maddox","November 16, 2016 Wednesday 7:32 PM GMT",,"Article 50 judge facing calls to stand aside from Brexit ruling","723 words","Express Online",,
,"November 24, 2016 Thursday",,"The Great British Wedding is back; Thanks to Brexit, more people are marrying on home soil. India Sturgisoffers nine reasons to celebrate","724 words","The Daily Telegraph (London)","NEWS; Pg. 29",
"Andreas Whittam Smith","November 21, 2016 Monday 3:09 PM GMT",,"We now know who's likely to become France's new President - the effects on Brexit and the fight against Isis will be huge; Fillon doesn't seem to have thebig problem with Brexit that other European leaders might. He alsothinks it wrong to seeRussia as the sole cause of trouble in Ukraine. And he would like to see a coalition between Russia and Iran to defeat Isis in Syria","724 words","The Independent (United Kingdom)","VOICES",
"Rehema Figueiredo","November 16, 2016 Wednesday 12:00 AM GMT",,"EU wants to charge UK £50BN for Brexit","727 words","Express Online",,
"Lizzie Stromme","November 23, 2016 Wednesday 9:50 AM GMT",,"Hammond's U-turn: Ex-MP claims Chancellor pushing for 'soft' Brexit WAS a eurosceptic","728 words","Express Online",,
"Francis Elliott","November 15, 2016 Tuesday",,"Cabinet split threatens to derail May's Brexit talks; Leaked memo reveals Whitehall tensions","729 words","The Times (London)","NEWS; Pg. 1,2",
"Reiss Smith","November 22, 2016 Tuesday 12:14 PM GMT",,"What would a Merkel fourth term mean for the world? Impact on the UK, Brexit, EU and more","730 words","Express Online",,
"By Dan Bloom","November 23, 2016 Wednesday 1:00 PM GMT",,"Brexit will dramatically hit economy over next five years, Chancellor Philip Hammond reveals in Autumn Statement; Growth will drop staggeringly from 2.2% to 1.4% in 2017 and the national debt will spiral above 90% of GDP, the Chancellor revealed","731 words","mirror.co.uk","NEWS,UK NEWS",
"LARISSA BROWN POLITICAL CORRESPONDENT FOR THE DAILY MAIL","November 19, 2016 Saturday 1:12 AM GMT",,"Supreme Court's most senior judge is urged to stand down from crucial Brexit case over his wife's pro-Remain tweets","733 words","MailOnline","NEWS",
"Heather Stewart","November 18, 2016 Friday 8:05 AM GMT",,"Row over McDonnell's Brexit comments threatens Labour truce; Shadow Brexit secretary said to be 'furious' at speech urging Britain to 'embrace the enormous opportunities' of leaving EU","733 words","The Guardian","POLITICS",
"Hajra Rahim","November 15, 2016 Tuesday",,"Lessons taken away from listening to the experts; From Brexit to 'braincount', Festival of Business attendees share the insights that they took home, reports Hajra Rahim","735 words","The Daily Telegraph (London)","BUSINESS; Pg. 8",
"BY JACK DOYLE SENIOR POLITICAL CORRESPONDENT","November 16, 2016 Wednesday",,"TOP JUDGE SAYS WHOLE NEW LAW MAY BE NEEDED TO TRIGGER BREXIT","736 words","DAILY MAIL (London)",,
"Macer Hall Political","November 19, 2016 Saturday",,"Fury as UK told it must pay billions to Brussels for a decade after Brexit","737 words","The Express","NEWS; Pg. 4,5",
"John Crace","November 16, 2016 Wednesday 6:32 PM GMT",,"A plan for Brexit? Hilary Benn's gameshow draws a blankety blank; With the Maybot malfunctioning, the search for a strategy fell upon a fractious select committee and its genial host","737 words","The Guardian","POLITICS",
"Laura Suter","November 19, 2016 Saturday",,"'How we kept our property fund open'; INVESTING FUND OF THE WEEK ; Brexit caused many to shut their doors - but not Kames Property Income. Its manager tells Laura Suter why","738 words","The Daily Telegraph (London)","YOUR MONEY;FEATURES; Pg. 9",
"Peter Dominiczak","November 16, 2016 Wednesday",,"Merkel signals key concession on Brexit; German chancellor gives first hint that freedom of movement is up for negotiation EU freedom of movement was never a right, says Johnson","738 words","The Daily Telegraph (London)","NEWS; Pg. 1,4",
"Deborah Haynes","November 16, 2016 Wednesday",,"'Chaos' and confusion over plans for Brexit; Existential threat in Whitehall, experts warn ; Silence is not right strategy, experts warn","741 words","The Times (London)","NEWS; Pg. 1,6,7",
"Oliver Wright","November 22, 2016 Tuesday",,"Whitehall can't cope with legal nightmare of Brexit, say experts","744 words","The Times (London)","NEWS; Pg. 8",
"Anushka Asthana Political editor","November 21, 2016 Monday 11:48 AM GMT",,"May hints at transition deal on Brexit to avoid 'cliff edge' for business; PM tells CBI that government will listen to business concerns about a sudden change to trading conditions while negotiating to leave European Union","744 words","The Guardian","BUSINESS",
"Lizzie Dearden","November 23, 2016 Wednesday 11:23 PM GMT",,"Nigel Farage 'planning second US trip to meet Trump team' as he celebrates Brexit victory at lavish Ritz party; Ukip leader hands out Ferrero Rocher chocolates on day£122bn budget black hole announced","747 words","The Independent (United Kingdom)","UK POLITICS",
"Lizzie Dearden","November 15, 2016 Tuesday 7:37 AM GMT",,"Brexit: Theresa May's Government has 'no plan' and needs up to 30,000 extra civil servants to cope - leaked report; 'No common strategy has emerged,' warns memo to Cabinet Office","748 words","The Independent (United Kingdom)","UK POLITICS",
"Emily Hodgkin","November 23, 2016 Wednesday 2:21 PM GMT",,"Post-Brexit housing market BOOM: Hammond pledges to £3.7bn building new homes","749 words","Express Online",,
"ANDREW GRICE AND BEN KENTISH","November 22, 2016 Tuesday",,"Branson's Virgin to bankroll Blairites' secret anti-Brexit campaign; EXCLUSIVE","75 words","The Independent - Daily Edition","NEWS; Pg. 1",
,"November 17, 2016 Thursday",,"Brexit's Project Fear has been seriously debunked; Letters","75 words","The Express","LETTERS; Pg. 23",
"By Telegraph View","November 18, 2016 Friday 8:07 AM GMT",,"The Upper House must act responsibly over Brexit","751 words","telegraph.co.uk","OPINION",
,"November 25, 2016 Friday",,"IT'S OFFICIAL: WE WILL BE £10BN A YEAR RICHER AFTER BREXIT","754 words","DAILY MAIL (London)",,
"By Laura Hughes, Political Correspondent","November 24, 2016 Thursday 11:41 AM GMT",,"Brexit 'can be stopped', says Tony Blair","755 words","telegraph.co.uk","NEWS",
"Anushka Asthana Political editor","November 23, 2016 Wednesday 8:30 PM GMT",,"A reality check for both wings of the Tory party; A cautious Philip Hammond left few Conservatives in doubt about the challenges ahead in achieving Brexit","756 words","The Guardian","UK NEWS",
"Lizzie Stromme","November 20, 2016 Sunday 3:03 PM GMT",,"'Political imperative' May will CRACK DOWN on immigration in Brexit talks, Hammond vows","756 words","Express Online",,
"MARTIN ROBINSON, UK CHIEF REPORTER FOR MAILONLINE","November 21, 2016 Monday 8:50 AM GMT",,"Facebook backs post-Brexit Britain: US social media giant joins Google with plans for new London HQs (so how much tax will they both pay?)","758 words","MailOnline","NEWS",
"DENIS MACSHANE","November 22, 2016 Tuesday",,"Brexit Britain will not be 'cutting edge' - it's time May started telling the truth","759 words","The Independent - Daily Edition","COMMENT; Pg. 37",
"ANDREW GRICE","November 17, 2016 Thursday",,"Everything May planned for the benefits system needs to change because of Brexit","759 words","The Independent - Daily Edition","COMMENT; Pg. 42",
"BEN CHU","November 23, 2016 Wednesday",,"Trump is a domestic tragedy for America and, for Brexit Britain, a catastrophe","761 words","The Independent - Daily Edition","COMMENT; Pg. 33",
"James Moore","November 21, 2016 Monday 11:04 AM GMT",,"Pensions: Stephen Crabb and IDS are right to call for a rethink on the triple lock and Brexit is the reason why; It was unfair to persist with generous guaranteed rises to pensionswhile other groups paid the price of austerity wellbefore a majority of those benefitting from themvoted to kick the economy in the guts","761 words","The Independent (United Kingdom)","BUSINESS COMMENT",
"TIM SCULTHORPE, MAILONLINE DEPUTY POLITICAL EDITOR","November 22, 2016 Tuesday 9:59 AM GMT",,"Ukip faces a probe by the elections watchdog over claims it wrongly used (EURO)500,000 of European Parliament cash to campaign for Brexit","762 words","MailOnline","NEWS",
"Macer Hall","November 21, 2016 Monday",,"NEW PUSH FOR 'CLEAN BREAK' EU EXIT; MPs pile on pressure for hard Brexit","766 words","The Express","NEWS; Pg. 1,4,5",
"Ben Chu","November 22, 2016 Tuesday 2:38 PM GMT",,"Donald Trump is a domestic tragedy for America and, as his TPP decision suggests, a catastrophe for Brexit Britain; Is this what the NHS-revering people of the North voted for when they supported Brexit? Is this what Britain's farmers expected when they put their cross in the Leave box?The backlash from these communities will be severe once Trump does to the UK what he wants to start in Asia","768 words","The Independent (United Kingdom)","VOICES",
"Sean O'Grady","November 21, 2016 Monday 4:47 PM GMT",,"If you think spending £369m on the royals isn't worth it, remember how the Queen could sweeten a post-Brexit deal with Trump; £369m, is, oddly, about the same amount of money that the Brexiteers said would be available for the NHS rather than the EU budget if we left the European Union. And it's a price worth paying - even for the taxpayer","769 words","The Independent (United Kingdom)","VOICES",
"EDITORIALS","November 17, 2016 Thursday",,"Boris has let the cat out of the Brexit bag - our position is abject","771 words","The Independent - Daily Edition","NEWS; Pg. 2",
"Kirsty Major","November 16, 2016 Wednesday 3:35 PM GMT",,"If you thought Brexit was bad, take a look at the chaos of Donald Trump's transition team appointments; There have been reports that Jared Kushner, Ivanka Trump's husband, is purging all staff with ties to the recently purged Chris Christie. As a federal prosecutor, Christie once sent Kushner's father to jail","772 words","The Independent (United Kingdom)","VOICES",
"Editorial","November 16, 2016 Wednesday 6:21 PM GMT",,"Brexit Britain will pay a heavy price for limiting free movement; Debate about 'trade' seems to have forgotten that a good three-quarters of the UK's GDP comes from the service industry and that free movement of people is essential for this to occur","773 words","The Independent (United Kingdom)","EDITORIALS",
"Andrew Grice","November 16, 2016 Wednesday 2:22 PM GMT",,"Everything Theresa May planned for the benefits system needs to change because of what Brexit Britain will look like; The Institute for Fiscal Studies calculates that 11.5 million families, who were originally due to lose an average of £260 a year, are now likely to lose £360 because of higher inflation.The Government will save £4.6bn instead of £3.6bn","773 words","The Independent (United Kingdom)","VOICES",
"Greg Heffer, Political Reporter","November 18, 2016 Friday 12:05 PM GMT",,"'Shambolic' Labour 'in another fine mess' amid bitter party rows on Brexit & immigration","774 words","Express Online",,
"By Tom Harris","November 18, 2016 Friday 2:41 PM GMT",,"Theresa May has a Trump card she can play in her Brexit talks","774 words","telegraph.co.uk","NEWS",
"Greg Heffer, Political Reporter","November 22, 2016 Tuesday 6:45 PM GMT",,"Pro-EU peer Lord Kerr calls on Government to chase 'phased Brexit'","775 words","Express Online",,
"Editorial","November 23, 2016 Wednesday 7:45 PM GMT",,"The Guardian view on the autumn statement: half right, half wrong; Freed from Europe, Philip Hammond will be able to pursue an industrial strategy. But he also needs a redistributive state, which Brexit makes harder to afford","776 words","The Guardian","OPINION",
"By Asa Bennett","November 24, 2016 Thursday 12:38 PM GMT",,"Nigel Farage no longer needs Ukip - the global Brexit revolution awaits","777 words","telegraph.co.uk","NEWS",
